gameId,user,targetNum,startTime,duration,finishTime,numGuesses,guess1,guess2,guess3,guess4,guess5,guess6,guess7,guess8,guess9,guess10,guess11,guess12,guess13,guess14,guess15,guess16,guess17,guess18,guess19,guess20
bf7ca560-f09c-4a9b-bb2c-2af866a7d360,2077,14,2019-09-21 12:24:45.541,76,2019-09-21 12:26:01.326,9,10,20,90,70,80,60,16,15,14,,,,,,,,,,,
3e5613d3-a56c-4d48-800f-ed62e46cf08e,977,32,2019-09-21 12:25:24.223,48,2019-09-21 12:26:12.716,7,68,48,28,38,36,34,32,,,,,,,,,,,,,
19f00bce-3d3a-4015-b704-e1bcb5bdf026,977,55,2019-09-21 12:26:27.243,41,2019-09-21 12:27:08.642,7,46,66,56,51,53,54,55,,,,,,,,,,,,,
63a47cad-891b-47bb-ad23-a7fe7a88fcab,2030,94,2019-09-21 12:26:46.099,41,2019-09-21 12:27:26.888,8,50,60,70,80,90,95,93,94,,,,,,,,,,,,
cfa5b96f-1c9a-45f4-8f6b-7b4ef1c12693,977,86,2019-09-21 12:27:23.572,37,2019-09-21 12:28:00.412,4,67,69,87,86,,,,,,,,,,,,,,,,
d2c6f154-391a-47b5-901a-4e4508c51747,977,35,2019-09-21 12:28:16.294,21,2019-09-21 12:28:37.274,2,55,35,,,,,,,,,,,,,,,,,,
4a6c5f09-08fd-4d89-9fc0-b7f262ed7aee,1288,72,2019-09-21 12:30:58.343,63,2019-09-21 12:32:00.893,8,50,60,90,80,70,71,71,72,,,,,,,,,,,,
3f1c4ff5-a3e7-488d-9c80-83547fd6c6cd,977,49,2019-09-21 12:32:02.015,39,2019-09-21 12:32:41.511,6,62,42,52,47,51,49,,,,,,,,,,,,,,
3210e53f-084b-47e3-bc8f-4339cf4fe482,1288,8,2019-09-21 12:32:15.905,41,2019-09-21 12:32:56.443,4,50,10,9,8,,,,,,,,,,,,,,,,
b641b147-8475-484a-a451-30a1d73bba27,977,5,2019-09-21 12:32:56.959,69,2019-09-21 12:34:05.561,9,68,67,65,42,40,20,10,7,5,,,,,,,,,,,
88ce9d89-a8e7-4c09-8f91-4c3b293d423f,1288,89,2019-09-21 12:33:11.237,57,2019-09-21 12:34:07.801,9,50,60,70,75,80,85,90,88,89,,,,,,,,,,,
5e0ca3b9-7e42-4f27-a9d7-d559c97ca917,2341,10,2019-09-21 12:33:58.981,48,2019-09-21 12:34:47.381,7,25,2,90,17,14,2,10,,,,,,,,,,,,,
80e34824-09a0-4541-b01b-149085f054e8,977,85,2019-09-21 12:34:20.960,19,2019-09-21 12:34:40.068,3,45,65,85,,,,,,,,,,,,,,,,,
0b702504-5b26-49c9-a8af-c2ed823ddd0d,1288,12,2019-09-21 12:34:22.807,61,2019-09-21 12:35:23.694,7,50,40,20,15,10,11,12,,,,,,,,,,,,,
bc9d5287-5ef0-485b-af88-c2faabe6d1a5,2341,42,2019-09-21 12:35:10.586,111,2019-09-21 12:37:01.584,8,10,20,15,50,5,35,45,42,,,,,,,,,,,,
bad58208-4077-4a49-88f2-2cb8b5c39221,1288,93,2019-09-21 12:35:38.672,40,2019-09-21 12:36:18.334,5,50,60,90,95,93,,,,,,,,,,,,,,,
e56d8e38-6c1b-4d90-9246-320e39d97a3e,1288,22,2019-09-21 12:36:33.246,44,2019-09-21 12:37:17.612,6,40,15,20,25,23,22,,,,,,,,,,,,,,
ab42c025-0784-40f4-abc8-f0a73b1b3b1d,2341,30,2019-09-21 12:37:26.241,63,2019-09-21 12:38:29.320,8,70,58,17,3,23,5,35,30,,,,,,,,,,,,
18c25732-7a62-44b4-bcaa-3df51bb5492c,977,77,2019-09-21 12:38:06.267,113,2019-09-21 12:39:58.934,13,10,30,50,70,90,98,90,92,91,80,79,75,77,,,,,,,
86034bf7-1181-4af1-a95b-5f3397c3dc4e,2341,93,2019-09-21 12:38:45.083,65,2019-09-21 12:39:49.862,9,25,50,63,80,90,100,95,92,93,,,,,,,,,,,
76e783ef-8107-4a1f-b16d-1e8ff8d4315f,977,45,2019-09-21 12:40:13.576,49,2019-09-21 12:41:02.377,9,42,62,55,51,48,44,6,46,45,,,,,,,,,,,
ec7476f9-a29d-423d-9183-22ba3b7e2085,222,10,2019-09-21 12:59:00.724,60,2019-09-21 13:00:00.520,12,1,2,3,4,5,6,7,8,9,50,20,10,,,,,,,,
2611ba90-0b22-4877-97e8-0cba4165d5d0,62,63,2019-09-21 13:00:32.469,53,2019-09-21 13:01:25.953,7,67,56,60,61,2,62,63,,,,,,,,,,,,,
ac106fcc-2321-414e-8b72-ef909c70ae90,62,49,2019-09-21 13:01:42.504,95,2019-09-21 13:03:17.057,12,72,69,68,1,2,22,28,26,56,50,40,49,,,,,,,,
7d0ead62-bb17-40a9-9292-04f64b30cad7,62,93,2019-09-21 13:03:31.645,128,2019-09-21 13:05:39.341,19,56,100,99,80,25,81,2,82,83,84,85,86,87,88,89,90,1,2,93,
